idx,title,paragraph,prediction,error
0,(+)-tartrate,"(±)-Ethyl nipecotate (70.16 g, 71ml) and (+)-tartaric acid (67 g) were dissolved in hot 95% ethanol (350 ml). The resulting solution was allowed to slowly cool to room temperature and refrigerated overnight. The crystals were filtered, washed with cold ethanol, and recrystallized from 95% ethanol (550 ml), cooling as before to give the (+)-tartrate salt of (+)-ethyl nipecotate (42.9 g). M.p. 155-156° C.","{""Reactants, Solvents, Catalysts"": {""A"": ""(±)-ethyl nipecotate"", ""B"": ""(+)-tartaric acid"", ""C"": ""ethanol""}, ""Products"": {""D"": ""(+)-tartrate salt of (+)-ethyl nipecotate""}, ""Reaction Steps"": {""1 (Reaction, Dissolve)"": ""A+B+C->mixture1"", ""2 (Work-up, Cool)"": ""mixture1->mixture2"", ""3 (Work-up, Refrigerate)"": ""mixture2->mixture3"", ""4 (Work-up, Filter)"": ""mixture3->mixture4"", ""5 (Work-up, Wash)"": ""mixture4+C->mixture5"", ""6 (Work-up, Recrystallize)"": ""mixture5+C->D""}}",
1,lithium tetra(2-furyl)borate,"The trifurylboron is further dissolved in dry tetrahydrofuran (30 ml), one equivalent of 2-furyllithium is added dropwise to the mixture of 0° C. under nitrogen. The precipitate formed is filtered and dried to obtain pure lithium tetra(2-furyl)borate.","{""Reactants, Solvents, Catalysts"": {""A"": ""trifurylboron"", ""B"": ""tetrahydrofuran"", ""C"": ""2-furyllithium"", ""D"": ""nitrogen""}, ""Products"": {""E"": ""lithium tetra(2-furyl)borate""}, ""Reaction Steps"": {""1 (Reaction, Dissolve)"": ""A+B->mixture1"", ""2 (Reaction, Add dropwise)"": ""mixture1+C+D->mixture2"", ""3 (Work-up, Filter)"": ""mixture2->mixture3"", ""4 (Work-up, Dry)"": ""mixture3->E""}}",
2,"N-Ethyl-3,4-dihydroxyphenethylamine hydrobromide","After dissolving 1.0 g of N-ethyl-homoveratrylamine in a solvent mixture consisting of 6 ml of a 48% aqueous hydrogen bromide solution and 4 ml of acetic acid, the solution was heated at 120°-130° C. with stirring for 5 hours. The solvent was distilled off and the residue was crystallized from ether to obtain 1.2 g of crude crystals. N-Ethyl-3,4-dihydroxyphenethylamine hydrobromide having a melting point of 149°-151° C. was obtained by recrystallizing from isopropyl alcohol. The yield was 0.68 g.","{""Reactants, Solvents, Catalysts"": {""A"": ""N-ethyl-homoveratrylamine"", ""B"": ""aqueous hydrogen bromide solution"", ""C"": ""acetic acid"", ""D"": ""ether"", ""E"": ""isopropyl alcohol""}, ""Products"": {""F"": ""N-ethyl-3,4-dihydroxyphenethylamine hydrobromide""}, ""Reaction Steps"": {""1 (Reaction, Dissolve)"": ""A+B+C->mixture1"", ""2 (Reaction, Heat)"": ""mixture1->mixture2"", ""3 (Work-up, Distillate)"": ""mixture2->mixture3"", ""4 (Work-up, Crystallize)"": ""mixture3+D->mixture4"", ""5 (Work-up, Recrystallize)"": ""mixture4+E->F""}}",
3,"5,6,7,8-tetrahydroimidazo[1,2-a]pyridine-7-carboxylic acid·hydrochloride","A solution of 0.18 g ethyl 5,6,7,8-tetrahydroimidazo[1,2-a]pyridine-7-carboxylate in 10 ml of 3N-HCl was heated overnight under reflux, the reaction mixture was concentrated to dryness under reduced pressure, and the residue was dried, thus giving 0.18 g of 5,6,7,8-tetrahydroimidazo[1,2-a]pyridine-7-carboxylic acid·hydrochloride.","{""Reactants, Solvents, Catalysts"": {""A"": ""ethyl 5,6,7,8-tetrahydroimidazo[1,2-a]pyridine-7-carboxylate"", ""B"": ""3N-hydrochloric acid""}, ""Products"": {""C"": ""5,6,7,8-tetrahydroimidazo[1,2-a]pyridine-7-carboxylic acid hydrochloride""}, ""Reaction Steps"": {""1 (Reaction, Heat)"": ""A+B->mixture1"", ""2 (Work-up, Evaporate)"": ""mixture1->mixture2"", ""3 (Work-up, Dry)"": ""mixture2->C""}}",
4,"Benzhydrol 2-[2-[3,5-bis (trifluoromethyl)phenylsulfonamido]-4-trifluoromethylphenoxy]benzoate","Benzhydrol 2-(2-amino-4-trifluoromethylphenoxy)benzoate (4 g, 8.6 mmol) was dissolved in pyridine (25 mL) and stirred under argon at room temperature. 3,5-bis(trifluoromethyl)benzenesulfonyl chloride (4.05 g, 12.9 mmol) was added in portions, and the mixture stirred for 16 h. The solvent was evaporated, and the residue was purified by flash chromatography (silica gel, ethyl acetate/hexane) to give the title compound as a white solid. 1H NMR (250 MHz, CDCl3) δ8.25 (br s, 1H), 8.15 (s, 2H), 7.99 (dd, 1H), 7.85-7.92 (m, 2H), 7.1-7.5 (m, 13H), 7.01 (s, 1H), 6.72 (d, 1H), 6.45 (dd, 1H).","{""Reactants, Solvents, Catalysts"": {""A"": ""benzhydrol 2-(2-amino-4-trifluoromethylphenoxy)benzoate"", ""B"": ""pyridine"", ""C"": ""3,5-bis(trifluoromethyl)benzenesulfonyl chloride""}, ""Products"": {""D"": ""benzhydrol 2-[2-[3,5-bis(trifluoromethyl)phenylsulfonamido]-4-trifluoromethylphenoxy]benzoate""}, ""Reaction Steps"": {""1 (Reaction, Dissolve and Stir)"": ""A+B->mixture1"", ""2 (Reaction, Add and Stir)"": ""mixture1+C->mixture2"", ""3 (Work-up, Evaporate)"": ""mixture2->mixture3"", ""4 (Work-up, Purify)"": ""mixture3->D""}}",
5,di(p-t-butylphenyl)iodonium tetraphenylborate,"To ice-cooled magnetically stirring acetic anhydride (81.0 g) was gradually added ice cold concentrated sulfuric acid (66 g). Most of the resulting solution (145 g) was transferred into a 250 mL addition funnel which was fitted to a 1 L three-necked round bottom flask containing potassium iodate (60 g), acetic anhydride (65 g), t-butylbenzene (80.4 g) and a magnetic stirring bar. The contents of the flask were cooled to -5° C. with a sodium chloride/ice bath. The acetic anhydride/sulfuric acid solution was added slowly over 3.5 h, keeping the temperature below 5° C. The mixture was stirred at room temperature for 114 h. The resulting viscous mixture was cooled to 5° C. before gradual addition of crushed ice (120 g), keeping the temperature below 10° C. The resulting mixture was then poured into a stirring ice (300 g)/water (1,200 g) mixture in a 2 L beaker. Stirring was continued for 5 minutes and then stopped. After 30 minutes standing, the aqueous layer was decanted. To the residue was added a solution of potassium chloride (75 g) in water (250 g), followed by stirring for 15 minutes. The aqueous layer (300 mL) was decanted. Ethyl ether (200 mL) was added, followed by stirring for 15 minutes to induce product precipitation (covered with aluminutesum foil during stirring). The precipitate was collected by suction filtration, rinsed with ether (200 mL) and air dried to give crude di(p-t-butylphenyl)iodonium chloride as an off white powder (64.0 g). A fraction of this compound (4.3 g, 0.01 mol), silver oxide (Ag2O, 2.6 g, 0.011 mol) and water (50 mL) was placed into a 4 oz polypropylene bottle and mixed by a wrist action shaker for 18 h. Solid was removed by suction filtration. Trifluoroacetic acid (0.7 g) was added to the filtrate to form a white precipitate. This was collected by suction filtration and air dried to give di(p-t-butylphenyl)iodonium trifluoroacetate as a white powder (3.0 g). Hereinafter, this compound is referred to as photoacid 2. Another fraction of the crude di(p-t-butylphenyl)iodonium chloride (4.3 g, 0.01 tool), silver oxide (Ag2O, 2.6 g, 0.011 tool) and water (50 mL) was placed into a 4 oz polypropylene bottle and mixed by a wrist action shaker for 18 h. Solid was removed by suction filtration. A 20% aqueous camphor sulfonic acid solution (5 g) was added dropwise to the filtrate to form a white precipitate. This was collected by suction filtration and air dried to give di(p-t-butylphenyl)iodonium camphor sulfonate as a white powder (4.0 g). This compound will be referred to as photoacid 2A. Another fraction of the crude di(p-t-butylphenyl)iodonium chloride (4.3 g, 0.01 mol), silver oxide (Ag2O, 2.6 g, 0.011 tool) and water (50 mL) was placed into a 4 oz polypropylene bottle and mixed by a wrist action shaker for 18 h. Solid was removed by suction filtration. A 20% aqueous toluene sulfonic acid solution (3 g) was added dropwise to the filtrate to form a white precipitate. This was collected by suction filtration and air dried to give di(p-t-butylphenyl)iodonium toluenesulfonate as a white powder (4.0 g). This compound is referred to as photoacid 2B. Another fraction of the crude di(p-t-butylphenyl)iodonium chloride (9.2 g) was dissolved in methanol (240 mL) in a 500 mL Erlenmeyer flask equipped with a magnetic stirrer. To this solution was added a sodium tetraphenylborate (6.8 g)/water (50 mL) solution to form a white precipitate immediately. The resulting mixture was stirred for 10 minutes and the precipitate was collected by suction filtration and air dried to give di(p-t-butylphenyl)iodonium tetraphenylborate as a white powder (12.0 g). This compound is referred to as photoacid 2C.","{""Reactants, Solvents, Catalysts"": {""A"": ""acetic anhydride"", ""B"": ""sulfuric acid"", ""C"": ""potassium iodate"", ""D"": ""t-butylbenzene"", ""E"": ""sodium chloride"", ""F"": ""ice"", ""G"": ""water"", ""H"": ""potassium chloride"", ""I"": ""ethyl ether"", ""J"": ""silver oxide"", ""K"": ""trifluoroacetic acid"", ""L"": ""camphor sulfonic acid solution"", ""M"": ""toluene sulfonic acid solution"", ""N"": ""methanol"", ""O"": ""sodium tetraphenylborate""}, ""Products"": {""P"": ""di(p-t-butylphenyl)iodonium chloride"", ""Q"": ""di(p-t-butylphenyl)iodonium trifluoroacetate"", ""R"": ""di(p-t-butylphenyl)iodonium camphor sulfonate"", ""S"": ""di(p-t-butylphenyl)iodonium toluenesulfonate"", ""T"": ""di(p-t-butylphenyl)iodonium tetraphenylborate""}, ""Reaction Steps"": {""1 (Reaction, Add)"": ""A+B->mixture1"", ""2 (Reaction, Transfer and Add)"": ""mixture1+C+A+D->mixture2"", ""3 (Reaction, Cool)"": ""mixture2+E+F->mixture3"", ""4 (Reaction, Add and Stir)"": ""mixture3+mixture1->mixture4"", ""5 (Reaction, Stir)"": ""mixture4->mixture5"", ""6 (Work-up, Cool)"": ""mixture5+F->mixture6"", ""7 (Work-up, Add and Stir)"": ""mixture6+F+G->mixture7"", ""8 (Work-up, Decant)"": ""mixture7->mixture8"", ""9 (Work-up, Add and Stir)"": ""mixture8+H+G->mixture9"", ""10 (Work-up, Decant)"": ""mixture9->mixture10"", ""11 (Work-up, Add and Stir)"": ""mixture10+I->mixture11"", ""12 (Work-up, Filter and Wash)"": ""mixture11+I->P"", ""13 (Reaction, Mix)"": ""P+J+G->mixture12"", ""14 (Work-up, Filter)"": ""mixture12->mixture13"", ""15 (Work-up, Add)"": ""mixture13+K->mixture14"", ""16 (Work-up, Filter and Dry)"": ""mixture14->Q"", ""17 (Reaction, Mix)"": ""P+J+G->mixture15"", ""18 (Work-up, Filter)"": ""mixture15->mixture16"", ""19 (Work-up, Add)"": ""mixture16+L->mixture17"", ""20 (Work-up, Filter and Dry)"": ""mixture17->R"", ""21 (Reaction, Mix)"": ""P+J+G->mixture18"", ""22 (Work-up, Filter)"": ""mixture18->mixture19"", ""23 (Work-up, Add)"": ""mixture19+M->mixture20"", ""24 (Work-up, Filter and Dry)"": ""mixture20->S"", ""25 (Reaction, Dissolve)"": ""P+N->mixture21"", ""26 (Reaction, Add)"": ""mixture21+O+G->mixture22"", ""27 (Work-up, Stir)"": ""mixture22->mixture23"", ""28 (Work-up, Filter and Dry)"": ""mixture23->T""}}",
6,"1-[3-(4-amidinophenyl)-2-oxo-5-oxazolidinylcarbonyl]piperidine-4-carboxylic acid, hydrochloride","0.41 g of tert-butyl 1-[3-(4-amidinophenyl)-2-oxo-5-oxazolidinylcarbonyl}piperidin-4-yl-carboxylate is stirred in 40 ml of ethereal HCl solution at room temperature for 2 h. The precipitate formed is filtered off with suction and washed with 20 ml of ether. The product is then treated with 5 ml of acetonitrile at 60° for 10 min, the mixture is cooled to room temperature, and the product is filtered off with suction and washed with a little acetonitrile. 1-[3-(4-amidinophenyl)-2-oxo-5-oxazolidinylcarbonyl]piperidine-4-carboxylic acid, hydrochloride, m.p. 184° (decomposition), is obtained.","{""Reactants, Solvents, Catalysts"": {""A"": ""tert-butyl 1-[3-(4-amidinophenyl)-2-oxo-5-oxazolidinylcarbonyl]piperidin-4-yl-carboxylate"", ""B"": ""ethereal hydrochloric acid"", ""C"": ""ether"", ""D"": ""acetonitrile""}, ""Products"": {""E"": ""1-[3-(4-amidinophenyl)-2-oxo-5-oxazolidinylcarbonyl]piperidine-4-carboxylic acid hydrochloride""}, ""Reaction Steps"": {""1 (Reaction, Stir)"": ""A+B->mixture1"", ""2 (Work-up, Filter)"": ""mixture1->mixture2"", ""3 (Work-up, Wash)"": ""mixture2+C->mixture3"", ""4 (Work-up, Treat and Heat)"": ""mixture3+D->mixture4"", ""5 (Work-up, Cool)"": ""mixture4->mixture5"", ""6 (Work-up, Filter)"": ""mixture5->mixture6"", ""7 (Work-up, Wash)"": ""mixture6+D->E""}}",
7,"3-[1-(1-Methyl-piperidin-4-yl)-indol-3-yl]-4-(1-methyl-indol-3-yl)-1H-pyrrole-2,5-dione hydrochloride","An ice cooled solution of 3-[1-(1-methyl-piperidin-4-yl)-1H-indol-3-yl]-4-(1-methyl-1H-indol-3-yl)-pyrrole-2,5-dione (70 g, 0.16 mol) in ethyl acetate (4 L) was saturated with gaseous hydrogen chloride for 3 hours. The precipitate formed was isolated by suction filtration, suspended in methanol (3 L) and stirred for 30 minutes. The mixture turned into a homogenous slurry, which was concentrated and treated with ether (500 mL). The title compound crystallized and was collected by suction filtration. The filter was vacuum dried over night (100° C./0.1 mm. Yield 70 g (92% of theory). M.Pt.: 280°-282° C.","{""Reactants, Solvents, Catalysts"": {""A"": ""3-[1-(1-methyl-piperidin-4-yl)-1H-indol-3-yl]-4-(1-methyl-1H-indol-3-yl)-pyrrole-2,5-dione"", ""B"": ""ethyl acetate"", ""C"": ""hydrogen chloride"", ""D"": ""methanol"", ""E"": ""ether""}, ""Products"": {""F"": ""3-[1-(1-methyl-piperidin-4-yl)-indol-3-yl]-4-(1-methyl-indol-3-yl)-1H-pyrrole-2,5-dione hydrochloride""}, ""Reaction Steps"": {""1 (Reaction, Saturate)"": ""A+B+C->mixture1"", ""2 (Work-up, Filter)"": ""mixture1->mixture2"", ""3 (Work-up, Suspend)"": ""mixture2+D->mixture3"", ""4 (Work-up, Stir)"": ""mixture3->mixture4"", ""5 (Work-up, Concentrate)"": ""mixture4->mixture5"", ""6 (Work-up, Add)"": ""mixture5+E->mixture6"", ""7 (Work-up, Crystallize)"": ""mixture6->F"", ""8 (Work-up, Filter and Dry)"": ""F->F""}}",
8,Benzyl trans-4-aminomethylcyclohexane-1-carboxylate-p-toluenesulfonic acid salt,"A mixture of 10.0 g (63.6 mmol) of trans-4-aminomethylcyclohexane-1-carboxylic acid, 25.1 g (132 mmol) of 4-toluenesulfonic acid, 50 mL (482 mmol) of benzyl alcohol, and 75 mL of toluene was heated to reflux under a N2 atmosphere using a Dean-Stark trap to collect water formed during the reaction. During reflux, all solids dissolved to leave a colorless solution. After 3 hours at reflux, the solution began to turn yellow. Heat was removed, and the flask allowed to cool to room temperature. The solids which separated out were collected and washed with diethyl ether. There was obtained 24.5 g (58.4 mmol, 92% yield) of product as a white solid. NMR (CD3OD): 7.12/7.20/7.65/7.73 (ABq, C6H4); 7.26 (s, C6H5); 5.06 (s, OCH2 C6H5); 2.72/2.80 (d, CH2N); 2.32 (s, ArCH3); 1.00-2.18 (m, cyclohexyl H). MS: M+ =247 by electron-impact; calculated M+ =247.3.","{""Reactants, Solvents, Catalysts"": {""A"": ""trans-4-aminomethylcyclohexane-1-carboxylic acid"", ""B"": ""4-toluenesulfonic acid"", ""C"": ""benzyl alcohol"", ""D"": ""toluene"", ""E"": ""diethyl ether""}, ""Products"": {""F"": ""benzyl trans-4-aminomethylcyclohexane-1-carboxylate-p-toluenesulfonic acid salt""}, ""Reaction Steps"": {""1 (Reaction, Heat)"": ""A+B+C+D->mixture1"", ""2 (Work-up, Cool)"": ""mixture1->mixture2"", ""3 (Work-up, Separate)"": ""mixture2->mixture3"", ""4 (Work-up, Wash)"": ""mixture3+E->F""}}",
9,1.1: Preparation of ferrocenylacetonitrile,"8.00 g (20.8 mmol) of ferrocenylmethyltrimethylammonium iodide (Strem) and 8 g of KCN (123 mmol) are dissolved in 80 ml of water. The mixture is placed in a round-bottomed flask surmounted by a reflux condenser. The mixture is heated at reflux for 2 hours and is then allowed to cool to room temperature. The product is extracted with 3 times 40 ml of ethyl ether. The organic phase is washed first with 2 times 30 ml of water and then dried over magnesium sulfate. After filtration and evaporation, 4.1 g of ferrocenylacetonitrile are collected.","{""Reactants, Solvents, Catalysts"": {""A"": ""ferrocenylmethyltrimethylammonium iodide"", ""B"": ""potassium cyanide"", ""C"": ""water"", ""D"": ""ethyl ether"", ""E"": ""magnesium sulfate""}, ""Products"": {""F"": ""ferrocenylacetonitrile""}, ""Reaction Steps"": {""1 (Reaction, Dissolve)"": ""A+B+C->mixture1"", ""2 (Reaction, Heat)"": ""mixture1->mixture2"", ""3 (Work-up, Cool)"": ""mixture2->mixture3"", ""4 (Work-up, Extract)"": ""mixture3+D->mixture4"", ""5 (Work-up, Wash)"": ""mixture4+C->mixture5"", ""6 (Work-up, Dry)"": ""mixture5+E->mixture6"", ""7 (Work-up, Filter)"": ""mixture6->mixture7"", ""8 (Work-up, Evaporate)"": ""mixture7->F""}}",
