source_row,idx,title,ground_truth_valid,noise_label,generation_success,structured_output_success,json_reaction_step_count,reaction_processing_success,name_to_smiles_success,reaction_step_count,atom_mapping_success,template_processing_success,extraction_exact,template_anomaly_passed,template_anomaly_filtered,denoising_correct,strict_end_to_end_success
0,0,(+)-tartrate,False,noisy,1,1,1,1,1,1,1,0,0,0,1,1,1
1,1,lithium tetra(2-furyl)borate,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
2,2,"N-Ethyl-3,4-dihydroxyphenethylamine hydrobromide",False,noisy,1,1,1,1,1,1,1,1,0,1,0,0,0
3,3,"5,6,7,8-tetrahydroimidazo[1,2-a]pyridine-7-carboxylic acid·hydrochloride",False,noisy,1,1,1,1,1,1,1,1,0,1,0,0,0
4,4,"Benzhydrol 2-[2-[3,5-bis (trifluoromethyl)phenylsulfonamido]-4-trifluoromethylphenoxy]benzoate",True,noise-free,1,1,2,1,1,1,1,1,1,0,1,0,0
5,5,di(p-t-butylphenyl)iodonium tetraphenylborate,False,noisy,1,1,11,1,1,4,1,0,0,0,1,1,1
6,6,"1-[3-(4-amidinophenyl)-2-oxo-5-oxazolidinylcarbonyl]piperidine-4-carboxylic acid, hydrochloride",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
7,7,"3-[1-(1-Methyl-piperidin-4-yl)-indol-3-yl]-4-(1-methyl-indol-3-yl)-1H-pyrrole-2,5-dione hydrochloride",True,noise-free,1,1,1,1,1,1,1,0,1,0,1,0,0
8,8,Benzyl trans-4-aminomethylcyclohexane-1-carboxylate-p-toluenesulfonic acid salt,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
9,9,1.1: Preparation of ferrocenylacetonitrile,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
10,10,"(3β,5β,14β,17β)-14-Amino-3-[[[[2-hydroxy-1-(phenylmethyl)ethyl]amino]carbonyl]oxy]androstane-17-carboxylic Acid, Methyl Ester Hydrochloride",True,noise-free,1,1,5,1,0,1,0,0,0,0,1,0,0
11,11,4-isopropylphenylacetimidate hydrochloride,True,noise-free,1,1,4,1,1,3,1,0,0,0,1,0,0
12,12,sodium (Z)-3-(4-chlorophenyl)-3-(4-methanesulphonylphenyl)-2-(2-hydroxyethyl)prop-2-enoate,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
13,13,Cis-3-[2-[2-methyl-3-[4-(aminoiminomethyl)phenyl]-isoxazolidin-5-yl]acetyl]amino-N-(3-methylphenylsulfonyl)-L-alanine monohydrogenchloride,True,noise-free,1,1,2,1,1,1,1,1,0,1,0,1,0
14,14,"sodium 3, 6, 8-trisulfonaphthylthiourea",False,noisy,1,1,2,1,0,1,0,0,0,0,1,1,1
15,15,Benzyl trans4-aminomethylcyclohexane1-carboxylate-p-toluenesulfonic acid salt,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
16,16,b) Synthesis of Ala-cholesterol (3-O-(L-alanyl)-cholesterol),True,noise-free,1,1,1,1,1,1,1,1,0,1,0,1,0
17,17,Lithium 2-isopropyl-4-phenylindenide,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
18,18,"(S)-3-(3,4-dichlorophenyl)-3-(2-hydroxyethyl)pyrrolidine (R,R)-di-p-anisoyltartaric acid",True,noise-free,1,1,2,1,1,1,1,0,1,0,1,0,0
19,19,"(−)-(4R)-4-(3-thienylmethyl)-4,5-dihydro-1,3-thiazol-2-ylamine hydrochloride",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
20,20,"4,5,7,8,9,10-hexahydropyrido[4,3-b]pyrrolo[3,2,1-hi]indole hydrochloride",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
21,21,"2-nitro-1,4-phenylenediamine hydrochloride",True,noise-free,1,1,1,1,1,1,1,0,1,0,1,0,0
22,22,"1-[(2R,3R)-2-(2,4-difluorophenyl)-2-hydroxy-3-[2-oxo-3-[4-(1H-tetrazol-1-yl)phenyl]-1-imidazolidinyl]butyl]-4-[(2,2-dimethylpropanoyloxy)methyl]-1H-1,2,4-triazolium chloride",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
23,23,1-(2-methoxyphenyl)-4-[3-(cyclohexanecarbonyl)-3-(phenyl)butyl]piperazine maleate,True,noise-free,1,1,1,1,1,1,1,0,1,0,1,0,0
24,24,(S)-4-[4-[(4-chlorophenyl)(2-pyridyl)-methoxy]piperidino]butanoic acid monobenzenesulfonic acid salt,True,noise-free,1,1,1,1,1,1,1,0,1,0,1,0,0
25,25,creatine monohydrate,True,noise-free,1,1,3,1,1,1,1,1,1,1,0,1,1
26,26,"2-tert-Butyl-4-{4-[3-(4-methyl-5-methyl-4H-[1,2,4]triazol-3-ylsulfanyl)-propyl]-piperazin-1-yl}-6-tert-butyl-pyrimidine hydrochloride",True,noise-free,1,1,1,1,1,1,1,1,0,1,0,1,0
27,27,"1-[4-(5-aminomethyl-2-oxo-oxazolidin-3-yl)-2-fluoro-phenyl]-2,3-dihydro-1H-pyridin-4-one hydrochloride",True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
28,28,"4-(2-chloroethyl)thiomorpholin-4-ium 1,1-dioxide chloride (41-2)",True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
29,29,"(3R,5S)-5-(benzylamino-methyl)-1-methanesulfonyl-pyrrolidine-3-thiol trifluoro-acetate",True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
30,30,sodium octoate,True,noise-free,1,1,1,1,1,1,1,0,1,0,1,0,0
31,31,3-(3-Aminomethyl-phenyl)-propionic acid methyl ester hydrochloride salt,True,noise-free,1,1,1,1,1,1,1,1,1,1,0,1,1
32,32,"triphenylsulfonium 2-acetoxy-1,1,3,3,3-pentafluoropropane-1-sulfonate",True,noise-free,1,1,3,1,1,1,1,1,1,1,0,1,1
33,33,"2-amino-2-{2-[4-(3-phenoxy-propoxy)-phenyl]-ethyl}-propane-1,3-diol hydro-chloride",True,noise-free,1,1,2,1,1,2,1,1,1,1,0,1,1
34,34,4-tert-Butylbenzenediazonium tetrafluoroborate (4).,True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
35,35,"(1R,2S)-1-amino-2-vinylcyclopropane carboxylic acid methyl ester hydrochloride",False,noisy,1,1,1,1,0,1,0,0,0,0,1,1,1
36,36,"2,6-Dimethylphenyl 4-aminobutanoate hydrochloride",True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
37,37,8-Fluoro-3-(piperidin-4-yl)quinolin-2(1H)-one hydrochloride,True,noise-free,1,1,3,1,1,1,1,1,1,1,0,1,1
38,38,Preparation of (3R)-3-(2-Hydroxy-2-thien-2-ylpent-4-enoyloxy)-1-(3-phenoxypropyl)-1-azoniabicyclo[2.2.2]octane bromide,True,noise-free,1,1,2,1,1,1,1,1,1,1,0,1,1
39,39,4-(2-amino-1H-imidazol-4-yl)-N-isobutyl-butyramide hydrochloride,True,noise-free,1,1,1,1,1,1,1,1,0,1,0,1,0
