source_row,model,title,ground_truth_valid,ground_truth_source,ground_truth_count,matched_ground_truth,noise_label,noise_free,noise_reason,model_output_matches_ground_truth,model_output_issue,model_signature,relevant_nosmi,reaction_count,max_reactant_count,max_reagent_count,max_product_count,template_failure,missing_product_atom_maps,identical_structures,evaluation_error,many_reactants,many_products,many_reagents,no_reagent,rare_template,many_products_filtered,many_products_passed,many_reactants_filtered,many_reactants_passed,many_reagents_filtered,many_reagents_passed,no_reagent_filtered,no_reagent_passed,rare_template_filtered,rare_template_passed
0,qwen-3.5-9b-off,(+)-tartrate,False,no_valid_ground_truth,0,,noisy,0,no_valid_ground_truth,0,not_applicable_no_valid_ground_truth,"{""products"": [""CCOC(=O)C1CCCNC1"", ""O=C(O)C(O)C(O)C(=O)O""], ""reactants"": [""CCOC(=O)C1CCCNC1"", ""O=C(O)C(O)C(O)C(=O)O""], ""reagents"": [""CCO""]}",0,1,2,1,2,1,0,1,template extraction failed,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
1,qwen-3.5-9b-off,lithium tetra(2-furyl)borate,True,human_validated,1,1,noise-free,1,,1,,"{""products"": [""[LiH]"", ""c1coc(B(c2ccco2)(c2ccco2)c2ccco2)c1""], ""reactants"": [""[Li][c]1ccco1"", ""c1coc(B(c2ccco2)c2ccco2)c1""], ""reagents"": [""C1CCOC1""]}",0,1,2,1,2,0,0,0,,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1
2,qwen-3.5-9b-off,"N-Ethyl-3,4-dihydroxyphenethylamine hydrobromide",False,no_valid_ground_truth,0,,noisy,0,no_valid_ground_truth,0,not_applicable_no_valid_ground_truth,"{""products"": [""Br"", ""CCNCCc1ccc(O)c(O)c1""], ""reactants"": [""Br"", ""CCNCCc1ccc(OC)c(OC)c1""], ""reagents"": [""CC(=O)O""]}",0,1,2,1,2,0,0,0,,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1
3,qwen-3.5-9b-off,"5,6,7,8-tetrahydroimidazo[1,2-a]pyridine-7-carboxylic acid·hydrochloride",False,no_valid_ground_truth,0,,noisy,0,no_valid_ground_truth,0,not_applicable_no_valid_ground_truth,,1,1,0,0,1,1,1,0,Reaction contains an unresolved (NoSmi) compound.,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
4,qwen-3.5-9b-off,"Benzhydrol 2-[2-[3,5-bis (trifluoromethyl)phenylsulfonamido]-4-trifluoromethylphenoxy]benzoate",True,human_validated,1,,noise-free,1,,0,mapping_or_template_failure,"{""products"": [""O=C(O)c1ccccc1Oc1ccc(C(F)(F)F)cc1NS(=O)(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1"", ""OC(c1ccccc1)c1ccccc1""], ""reactants"": [""Nc1cc(C(F)(F)F)ccc1Oc1ccccc1C(=O)OC(c1ccccc1)c1ccccc1"", ""O=S(=O)(Cl)c1cc(C(F)(F)F)cc(C(F)(F)F)c1""], ""reagents"": [""c1ccncc1""]}",0,1,2,1,2,1,1,0,product atom mapping is incomplete,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
5,qwen-3.5-9b-off,di(p-t-butylphenyl)iodonium tetraphenylborate,False,no_valid_ground_truth,0,,noisy,0,no_valid_ground_truth,0,not_applicable_no_valid_ground_truth,"{""products"": [""CC(C)(C)c1ccc([IH]c2ccc(C(C)(C)C)cc2)cc1"", ""Cl"", ""O=C(O)C(F)(F)F"", ""O=S(=O)(O)Cc1ccccc1""], ""reactants"": [""CC(=O)OC(C)=O"", ""CC(=O)OC(C)=O"", ""CC(C)(C)c1ccc([IH]c2ccc(C(C)(C)C)cc2)cc1"", ""CC(C)(C)c1ccccc1"", ""O=C(O)C(F)(F)F"", ""O=S(=O)(O)Cc1ccccc1"", ""OI(O)O""], ""reagents"": [""Cl"", ""O"", ""O=S(=O)(O)O"", ""[Ag]"", ""[KH]""]}",0,3,4,5,2,1,1,1,product atom mapping is incomplete | product atom mapping is incomplete | template extraction failed,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0
6,qwen-3.5-9b-off,"1-[3-(4-amidinophenyl)-2-oxo-5-oxazolidinylcarbonyl]piperidine-4-carboxylic acid, hydrochloride",True,human_validated,1,,noise-free,1,,0,NoSmi_in_skeleton,,1,1,0,0,2,1,1,0,Reaction contains an unresolved (NoSmi) compound.,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
7,qwen-3.5-9b-off,"3-[1-(1-Methyl-piperidin-4-yl)-indol-3-yl]-4-(1-methyl-indol-3-yl)-1H-pyrrole-2,5-dione hydrochloride",True,human_validated,1,,noise-free,1,,0,mapping_or_template_failure,"{""products"": [""CN1CCC(n2cc(C3=C(c4cn(C)c5ccccc45)C(=O)NC3=O)c3ccccc32)CC1"", ""Cl""], ""reactants"": [""CN1CCC(n2cc(C3=C(c4cn(C)c5ccccc45)C(=O)NC3=O)c3ccccc32)CC1"", ""Cl""], ""reagents"": [""CCOC(C)=O"", ""CO""]}",0,1,2,2,2,1,0,1,template extraction failed,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
8,qwen-3.5-9b-off,Benzyl trans-4-aminomethylcyclohexane-1-carboxylate-p-toluenesulfonic acid salt,True,human_validated,1,1,noise-free,1,,1,,"{""products"": [""Cc1ccc(S(=O)(=O)O)cc1"", ""NCC1CCC(C(=O)OCc2ccccc2)CC1""], ""reactants"": [""Cc1ccc(S(=O)(=O)O)cc1"", ""NCC1CCC(C(=O)O)CC1"", ""OCc1ccccc1""], ""reagents"": [""Cc1ccccc1""]}",0,1,3,1,2,0,0,0,,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1
9,qwen-3.5-9b-off,1.1: Preparation of ferrocenylacetonitrile,True,human_validated,1,1,noise-free,1,,1,,"{""products"": [""N#CCc1cccc1"", ""[Fe]"", ""c1cccc1""], ""reactants"": [""C#N"", ""CN(C)(C)Cc1cccc1"", ""[Fe]"", ""c1cccc1""], ""reagents"": [""I"", ""O"", ""[KH]""]}",0,1,4,3,3,0,0,0,,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1
